name,brand,image_url,gender,notes,emotion_tags,season_tags,time_tags,brand_tag,mood,activity,weather
Tubereuse Imperiale Eau de Parfum,BDK Parfums,https://static.luckyscent.com/images/products/856007.jpg?width=400&404=product.png,women,"benzoin of sumatra, cashmeran, cypress, geranium of egypt, incense of somalia, iris, jasmine of egypt, patchouli of singapore, pink peppercorn, sambac jasmine, sandalwood, tuberose of india, vanilla of madagascar, ylang ylang of comoros",sensual,summer,night,BDK Parfums,romantic,date,cold
Nuit de Sable Eau de Parfum,BDK Parfums,https://static.luckyscent.com/images/products/856004.jpg?width=400&404=product.png,women,"absolute of rose, absolute of tonka bean, ambroxan, cardamom, cumin, hot sand accord, musk, nutmeg, rose oxide, sandalwood",sensual,summer,night,BDK Parfums,romantic,date,cold
Wood Jasmin Eau de Parfum,BDK Parfums,https://static.luckyscent.com/images/products/856005.jpg?width=400&404=product.png,women,"cypriol nagarmotha of india, dhavanam, incense of somalia, jasmine of egypt, labdanum of spain, patchouli of indonesia, pear, plum, rose of turkey, sambac jasmine, vanilla of madagascar",sensual,summer,night,BDK Parfums,romantic,date,cold
Pas Ce Soir Eau de Parfum,BDK Parfums,https://static.luckyscent.com/images/products/856001.jpg?width=400&404=product.png,women,"amber wood, black pepper, cashmeran, ginger, mandarin, moroccan jasmine, orange blossom, patchouli of singapore, quince chutney",sensual,summer,night,BDK Parfums,romantic,date,cold
Dolceacqua Eau de Parfum,Masque Milano,https://static.luckyscent.com/images/products/640013.jpg?width=400&404=product.png,men,"almond flower, benjoin siam, cedarwood virginia, coastal breeze accord, ivy leaves, mediterranean marjoram, mimosa, muguet, oakmoss, saffron flower, silky musks, white rose, ylangylang nosy be",sensual,summer,night,Masque Milano,romantic,date,rainy
Black Beard Extrait de Parfum,CALAJ Perfumes,https://static.luckyscent.com/images/products/857000.jpg?width=400&404=product.png,unisex,"amber, artemisia, basil, bergamot, bulgarian lavender, carnation, geranium, leather, moss, musk, orange, patchouli, petitgrain, rose, tabacco, tonka bean",sensual,summer,day,CALAJ Perfumes,romantic,date,cold
Transilvania Extrait de Parfum,CALAJ Perfumes,https://static.luckyscent.com/images/products/857001.jpg?width=400&404=product.png,unisex,"angelica, black cherry, civet, coumarin, honey, immortelle, jasmine, musk, opoponax, oud, patchouli, rose oxyde, tuberose, vanilla",sensual,summer,night,CALAJ Perfumes,romantic,date,cold
Love Toxin Extrait de Parfum,CALAJ Perfumes,https://static.luckyscent.com/images/products/857002.jpg?width=400&404=product.png,unisex,"bergamot, castoreum, coconut, coriander, cumin, gardenia, hay, heliotrope, iris, jasmin, leather, musk, oakmoss, opoponax, peach, plum, rose, rose oxyde, strawberry, tuberose, vanilla",sensual,summer,day,CALAJ Perfumes,romantic,date,cold
Oshun Extrait de Parfum,CALAJ Perfumes,https://static.luckyscent.com/images/products/857003.jpg?width=400&404=product.png,unisex,"amber, black currant, black pepper, castoreum, cinnamon, cloves, jasmine, lemon, magnolia, peru balsam, pine, rose, tobacco, tonka bean",sensual,summer,day,CALAJ Perfumes,romantic,date,cold
Isra & Miraj Eau de Parfum,Stephane Humbert Lucas 777,https://static.luckyscent.com/images/products/655016.jpg?width=400&404=product.png,men,"amber, bergamot, ceylan, cinnamon, heliotrope, leather, musk, natural oud, nutmeg, osmanthus absolute, patchouli, santal de mysore, tangerine, vanilla",sensual,fall,day,Stephane Humbert Lucas 777,romantic,date,cold
Petits Papiers Eau de Parfum,Mad et Len,https://static.luckyscent.com/images/products/75224.jpg?width=400&404=product.png,women,"benzoin, copaiva balsam, gaiac, paper, patchouli, resins",sensual,fall,night,Mad et Len,romantic,casual,any
La Danza delle Libellule Eau de Parfum,Nobile 1942,https://static.luckyscent.com/images/products/52310.jpg?width=400&404=product.png,unisex,"bergamot, cedar, cinnamon, musk, red apple, vanilla and coconut",sensual,fall,day,Nobile 1942,romantic,date,cold
Magnolia Grandiflora - Michel Eau de Parfum,Grandiflora,https://static.luckyscent.com/images/products/64200.jpg?width=400&404=product.png,women,"bergamot, grapefruit, jasmine, lemon, magnolia, patchouli and musk, rose, vetiver, ylangylang",sensual,summer,day,Grandiflora,romantic,date,hot
Bell'Antonio Eau de Parfum,Hilde Soliani,https://static.luckyscent.com/images/products/46602.jpg?width=400&404=product.png,men,tobacco and coffee,sensual,fall,night,Hilde Soliani,romantic,casual,any
Golden Moka Eau de Parfum,Xerjoff,https://static.luckyscent.com/images/products/51155.jpg?width=400&404=product.png,unisex,"amber, blood orange, cambodian oud, coffee absolute, green accord, incense, labdanum, lemon, mandarin, rose absoute",sensual,spring,day,Xerjoff,romantic,date,cold
Oud Stars - Indochine Parfum,Xerjoff,https://static.luckyscent.com/images/products/51156.jpg?width=400&404=product.png,unisex,"agarwood, brasilian orange, bulgarian rose, freesia, muguet, musk, oud blend, peony, pink pepper, strawberry, vanilla",sensual,summer,night,Xerjoff,romantic,date,cold
Fatal Charme Eau de Parfum,Xerjoff - Join the Club,https://static.luckyscent.com/images/products/63200.jpg?width=400&404=product.png,women,"cream soda, fruity, iris, lemony, musk",sensual,winter,night,Xerjoff - Join the Club,romantic,date,any
Mad About You Eau de Parfum,Pierre Guillaume Paris Black Collection,https://static.luckyscent.com/images/products/545017.jpg?width=400&404=product.png,men,"black tea, leather, licorice, lipstick, red fruits, violet",sensual,fall,night,Pierre Guillaume Paris Black Collection,romantic,date,any
Anti-Blues,Pierre Guillaume Paris Black Collection,https://static.luckyscent.com/images/products/545018.jpg?width=400&404=product.png,men,"amyris, cacao wood, dark chocolate, grapefruit, hay, incense, leather, resin, saffron, tobacco, vanilla, vetiver",sensual,fall,night,Pierre Guillaume Paris Black Collection,romantic,date,cold
Tahiti Vanilla Parfum,Farmacia SS. Annunziata dal 1561,https://static.luckyscent.com/images/products/440027.jpg?width=400&404=product.png,women,"bergamot, jasmine, key lime, mimosa, neroli, patchouly, rosemary, sage, sandalwood, vanilla, vetiver, ylang ylang",sensual,summer,day,Farmacia SS. Annunziata dal 1561,romantic,casual,cold
Fuyu Eau de Parfum,Tom Daxon,https://static.luckyscent.com/images/products/62632.jpg?width=400&404=product.png,women,"cedar, iris, jasmine, soft musks, white peach",sensual,summer,night,Tom Daxon,romantic,date,any
Perfumista Eau de Parfum,Anatole Lebreton,https://static.luckyscent.com/images/products/70806.jpg?width=400&404=product.png,women,"cedar, jasmine, mousse de saxe accord, musk, pear, peru balsam, plum, raspberry, rose",sensual,summer,night,Anatole Lebreton,romantic,date,any
Douleur! Eau de Parfum,Bogue Profumo,https://static.luckyscent.com/images/products/66933.jpg?width=400&404=product.png,women,"benzoin, cotton candy, melon, metallic notes, mint, rose, seaweed",energetic,spring,day,Bogue Profumo,fresh,casual,hot
Ambre Stone Eau de Parfum,Anthologie de Grands Crus,https://static.luckyscent.com/images/products/836000.jpg?width=400&404=product.png,women,"ambergris infusion, egyptian jasmine absolute late crop, indian sandalwood oil, indonesian patchouli oil, italian bergamot oil late crop, moroccan neroli oil",sensual,summer,day,Anthologie de Grands Crus,romantic,date,cold
Vanille d'Amine Eau de Parfum,Anthologie de Grands Crus,https://static.luckyscent.com/images/products/836001.jpg?width=400&404=product.png,women,"madagascan clove bud oil, madagascan vanilla olorsin, somalian olibanum",sensual,fall,night,Anthologie de Grands Crus,romantic,casual,cold
Bergamote de G. Franco Eau de Parfum,Anthologie de Grands Crus,https://static.luckyscent.com/images/products/836002.jpg?width=400&404=product.png,women,"chinese osmanthus alcoolat grand cru, italian bergamot oil grand cru, kashmirin saffron, moroccan mimosa absolute",sensual,summer,day,Anthologie de Grands Crus,romantic,casual,hot
Vetiver de Pierre Eau de Parfum,Anthologie de Grands Crus,https://static.luckyscent.com/images/products/836003.jpg?width=400&404=product.png,men,"haitian vetiver oil special grand cru, ivory coast cacao absolute, turkish blond tobacco, venezuelan tonka absolute",sensual,fall,day,Anthologie de Grands Crus,romantic,work,any
