name,brand,image_url,gender,notes,emotion_tags,season_tags,time_tags,brand_tag,mood,activity,weather
1 Million Lucky,PACO RABANNE,https://www.sephora.com/productimages/sku/s2038354-main-zoom.jpg,men,"cashmir wood, cedar and honey, hazelnut, jasmine, oakmoss, patchouli and vetiver",energetic,spring,night,PACO RABANNE,fresh,work,rainy
Paradiso Assoluto,Roberto Cavalli,"https://m.media-amazon.com/images/I/91HRmV6OE5L._AC_UF1000,1000_QL80_.jpg",women,"sandalwood and patchouli, vanilla, wild jasmine and red lily",romantic,fall,night,Roberto Cavalli,romantic,casual,cold
Royal Amber,S.T.Dupont,https://fimgs.net/mdimg/perfume/375x500.43063.jpg,unisex,"lemon, mint and wood moss, sandalwood and cedar",energetic,spring,night,S.T.Dupont,fresh,casual,hot
Seductive Blue,GUESS,"https://m.media-amazon.com/images/I/71Wrn+zAmmL._AC_UF1000,1000_QL80_.jpg",men,"blue coral aquaspace accord and geranium, cashmere wood, moss and rippled sand accord",energetic,spring,night,GUESS,fresh,casual,rainy
Uomo,Roberto Cavalli,https://m.media-amazon.com/images/I/81LiK-Yh6hL.jpg,women,"african orange flower, benzoin, tonka bean, vanille",romantic,fall,night,Roberto Cavalli,romantic,casual,cold
cavalli,Roberto Cavalli,https://www.robertocavalli.com/dw/image/v2/BLPR_PRD/on/demandware.static/-/Sites-50/default/dwcd6f0431/images/zoom/SAW018SA026E0293_ECOM_DETAIL2.jpg?strip=false,women,"african orange flower, benzoin, tonka bean, vanille",romantic,fall,night,Roberto Cavalli,romantic,casual,cold
The Scent,HUGO BOSS,https://images.hugoboss.com/is/image/boss/hbna58045781_999_200?$social_sharing$,women,"lavender, osmanthus flower, roasted cocoa",romantic,fall,night,HUGO BOSS,romantic,casual,any
Gold Secret,DORALL COLLECTION,https://m.media-amazon.com/images/I/61TG3Kqcf8L.jpg,men,"labdanum and musk, lavender and cloves",sensual,spring,night,DORALL COLLECTION,romantic,date,any
Bamboo,GUCCI,"https://m.media-amazon.com/images/I/71MWz+v1bJL._AC_UF1000,1000_QL80_.jpg",women,"casablanca lily and ylang ylang extracomoros, sandalwood",romantic,fall,night,GUCCI,romantic,casual,any
M7 Oud Absolu,Yves Saint Laurent,"https://m.media-amazon.com/images/I/61tRclmMXVL._AC_UF1000,1000_QL80_.jpg",men,"amber, cistus, myrrh, oud, patchouli",energetic,spring,night,Yves Saint Laurent,fresh,date,cold
1881,CERRUTI 1881,https://m.media-amazon.com/images/I/91auQcINY0L.jpg,men,"cedar, lilyofthevalley and cassia, musk, oak moss, patchouli, pepper and pine tree, rose, sandalwood, vetiver, ylangylang",energetic,spring,day,CERRUTI 1881,fresh,date,rainy
IN 2 U MEN,Calvin Klein,https://i5.walmartimages.com/seo/Calvin-Klein-CK-IN2U-Him-eau-de-toilette-spray-5-0-oz_5a80f907-e329-4e62-b70e-96f11cc7d7b7.3f00ea1d8989be463da33f098ed09f2b.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,men,"cacao pod, musk, vetiver and cedar",energetic,spring,day,Calvin Klein,fresh,date,any
Royale Blue,Rasasi,"https://m.media-amazon.com/images/I/51FQPFvr9DL._AC_UF1000,1000_QL80_.jpg",men,"delicate musky sensual woods, distinct and exotic",sensual,spring,night,Rasasi,romantic,date,any
Black Oud,MONTALE,https://montaleparfums.us/cdn/shop/products/black-aoud-noir_3f876d96-2fdd-4cdf-a182-d4a7789c61b6.png?v=1644350447,men,"agarwood, mandarin orange, musk, patchouli",romantic,spring,night,MONTALE,romantic,date,any
L'Homme,Yves Saint Laurent,https://www.sephora.com/productimages/sku/s987925-main-zoom.jpg,men,"basil, cedar, spices, tahitian vetiver, tonka bean, violet leaf, white pepper",energetic,spring,night,Yves Saint Laurent,fresh,work,cold
Love Story,CHLOE,https://www.sephora.com/productimages/sku/s1659390-main-zoom.jpg,women,"black currant, cashmirwood, cedar, musk, orange blossom, patchouli, peach, rose, stephanotis",romantic,fall,night,CHLOE,romantic,date,any
Narciso Rouge,NARCISO RODRIGUEZ,https://m.media-amazon.com/images/I/71EpJ-MFWkL.jpg,women,"cedar wood, musk, tonka beans, vetiver",sensual,fall,night,NARCISO RODRIGUEZ,romantic,date,cold
24 Pure,DORALL COLLECTION,https://m.media-amazon.com/images/I/71mWW+MCIHL.jpg,men,"amber, cardomon, cinnamon, coumarin, cumin, jasmin, lily, musk, nutmeg, pink pepper, red fruits, sandalwood, vanilla",energetic,spring,day,DORALL COLLECTION,fresh,date,cold
Romance,Rasasi,"https://m.media-amazon.com/images/I/71rx9MwsktL._AC_UF1000,1000_QL80_.jpg",women,"amber, cedar and sandalwood, jasmine, musk, powdery notes, rose",romantic,fall,night,Rasasi,romantic,date,cold
Quatre,BOUCHERON,https://i5.walmartimages.com/seo/Boucheron-Quatre-Eau-de-Parfum-Perfume-for-Women-3-3-Oz_c2b82830-7b6b-4919-af94-4c3d2586a855.8fda5defc012b14c66692803f01ea91a.jpeg,women,"golden woods musk, rose absolute, sambac jasmine absolute",romantic,fall,night,BOUCHERON,romantic,date,any
Narciso Rodriguez,NARCISO RODRIGUEZ,https://m.media-amazon.com/images/I/719IpQOO-EL.jpg,women,"amber and musk, patchouli and sandalwood",romantic,fall,night,NARCISO RODRIGUEZ,romantic,date,cold
Monsieur Intense Gold,Alina Corel,https://m.media-amazon.com/images/I/61VhCXYifDL.jpg,unisex,"amber fat, gaiak wood, musk, rare wood, saffron, shepherd, teak wood",sensual,spring,night,Alina Corel,romantic,date,cold
Charlie Gold,Revlon,https://m.media-amazon.com/images/I/61kutU5syAL.jpg,women,"caramel musk, cedar wood, cinnamon, freesia, jasmine, muget, rose, sandalwood, vanilla, woody accords",sensual,fall,night,Revlon,romantic,date,cold
Pour Homme,TED LAPIDUS,"https://m.media-amazon.com/images/I/61gWnky+xVL._AC_UF894,1000_QL80_.jpg",men,"amber, brazilian rosewood, caraway, cedar, honey, incense, jasmine, lilyofthevalley, musk, oakmoss, orris root, patchouli, petitgrain, pine tree, rose, sandalwood, tobacco, tonka bean",energetic,spring,night,TED LAPIDUS,fresh,date,cold
Fantasy,Britney Spears,"https://m.media-amazon.com/images/I/81dmMUEwDDL._AC_UF1000,1000_QL80_.jpg",women,"amber, grapefruit blossom, jacaranda wood, jasmine, luid sandalwood, sweet napolitano cake, vanilla, verbena",cozy,fall,night,Britney Spears,warm,date,cold
Bloom Aqua Di Fiori,GUCCI,https://m.media-amazon.com/images/I/718KfpKluRL.jpg,women,"jasmine, tuberose",romantic,fall,night,GUCCI,romantic,casual,any
Body Kouros,Yves Saint Laurent,"https://m.media-amazon.com/images/I/51NHR6l1MfL._AC_UF1000,1000_QL80_.jpg",men,"benzoin, chinese cedar, clary sage",energetic,spring,night,Yves Saint Laurent,fresh,work,any
First,Van Cleef & Arpels,https://m.media-amazon.com/images/I/51czF0pfOAL.jpg,women,"amber, carnation, civet, hiacynth, honey, jasmine, lilyofthevalley, musk, narcissus, oakmoss, orchid, orris root, rose, sandalwood, tonka bean, tuberose, vanilla, vetiver, ylangylang",romantic,fall,night,Van Cleef & Arpels,romantic,date,cold
Narciso Rodriguez,NARCISO RODRIGUEZ,https://m.media-amazon.com/images/I/719IpQOO-EL.jpg,women,"amber, musk, patchouli, sandalwood",sensual,winter,night,NARCISO RODRIGUEZ,romantic,date,cold
S.T. Dupont,S.T.Dupont,"https://m.media-amazon.com/images/I/51vWYxd+FML._AC_UF1000,1000_QL80_.jpg",men,"amber, carnation, cinnamon, cypress, iris, lavender and jasmine, musk and coconut, patchouli, sandalwood",energetic,spring,night,S.T.Dupont,fresh,date,cold
Knowing,Estee Lauder,https://m.esteelauder.com/media/export/cms/products/640x640/el_sku_440901_640x640_0.jpg,women,"jasmine, oakmoss, patchouli and orange flower, sandalwood and amber, vetiver",romantic,fall,night,Estee Lauder,romantic,date,cold
Grey Flannel For Men,Geoffrey Beene,https://m.media-amazon.com/images/I/71aBYB+DQlL.jpg,men,"almond, geranium and narcissus, iris, mimose, oakmoss, rose, sage, tonka bean, vetiver and cedar, violet",energetic,spring,night,Geoffrey Beene,fresh,work,cold
The Only One,Dolce & Gabbana,https://media.ulta.com/i/ulta/2539508?w=1600&h=1600&fmt=auto,women,"coffee, iris, marshmallow, sandalwood and heliotrope, vanilla",romantic,fall,night,Dolce & Gabbana,romantic,casual,cold
Al Wisam Day,Rasasi,"https://m.media-amazon.com/images/I/61SN3OKgETL._AC_UF1000,1000_QL80_.jpg",men,"amber nuanced clary sage, and rich and musty oud, and woody cedarwood, oak moss, soft and milky sandalwood",energetic,fall,night,Rasasi,fresh,date,cold
Black Vanilla,Mancera,"https://m.media-amazon.com/images/I/716lHHOMLLL._AC_UF1000,1000_QL80_.jpg",unisex,"and jasmine, delicate bulgarian rose, vanilla pods from madagascar and white musk, violet",sensual,spring,night,Mancera,romantic,date,cold
Addict,Dior,https://m.media-amazon.com/images/I/51VuLWG+7pL.jpg,women,"bulgarian rose and orange flower, night queen flower, sandal wood and tonka bean, vanilla",romantic,fall,night,Dior,romantic,casual,cold
Passenger,S.T.Dupont,https://m.media-amazon.com/images/I/61nvSnojczL.jpg,men,"benzoin, cardamom, ginger, guaiac wood, lavender, pink pepper",energetic,spring,night,S.T.Dupont,fresh,casual,any
Brit Rhythm Intense,BURBERRY,https://i5.walmartimages.com/asr/6cd604ee-e7a5-450e-908d-5147647de27d_1.8fdb8b1a18afec5100ca75d0302049ce.jpeg,men,"amber, basil, cashmere wood, coumarin, guaiac wood, lavender, leather, mint, patchouli, sandalwood, tonka beans, vanilla",energetic,spring,night,BURBERRY,fresh,date,cold
CK Be,Calvin Klein,https://i5.walmartimages.com/seo/Calvin-Klein-Ck-Be-Eau-De-Toilette-3-4-Oz_7176b730-31ba-418d-a1b9-4570c34051cd.46bb814e0a48b93aec52d428e9ae6f87.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,men,"amber, cedar, freesia, green grass, jasmine, magnolia, musk, opoponax, orchid, peach, sandalwood, vanilla",romantic,spring,night,Calvin Klein,romantic,date,cold
Guilty,GUCCI,https://m.media-amazon.com/images/I/51QkWYSc8oL.jpg,women,"amber, lilac, patchouli, peach, raspberry vilolet",romantic,fall,night,GUCCI,romantic,date,cold
Starlight,AIGNER,"https://m.media-amazon.com/images/I/61ZQGyQrOSL._AC_UF1000,1000_QL80_.jpg",women,"cumin, jasmine and strawberries, patchouli, sandalwood, vanilla and white musk",romantic,fall,night,AIGNER,romantic,date,cold
Azure,BENTLEY,"https://m.media-amazon.com/images/I/81dVo1EIfiL._AC_UF1000,1000_QL80_.jpg",men,"cashmere wood, lavender and clary sage, pimento, tea accord, tonka bean and orcanox",energetic,spring,day,BENTLEY,fresh,casual,cold
Dylan Blue,VERSACE,https://www.versace.com/dw/image/v2/BGWN_PRD/on/demandware.static/-/Sites-ver-master-catalog/default/dw2a9c45f7/original/90_R721010-R100MLS_RNUL_22_DylanBluePourHommeEDT100ml--Versace-online-store_1_1.jpg?sw=1200&q=85&strip=true,men,"ambroxan, black pepper, frankincense, musk, papyrus, patchouli, saffron, tonka beans, violet leaves",energetic,spring,day,VERSACE,fresh,date,cold
Modern Muse,Estee Lauder,https://m.esteelauder.com/media/export/cms/products/640x640/el_sku_YF3201_640x640_0.jpg,women,"amber, honey suckle, jasmine, lily, musk, patchouli, tuberose, woody notes",romantic,fall,night,Estee Lauder,romantic,date,cold
La Nuit De L'Homme L'Intense,Yves Saint Laurent,https://www.yslbeauty.com/dw/image/v2/BDCR_PRD/on/demandware.static/-/Sites-ysl-master-catalog/default/dw12631bba/square/Fragrance/ForHim/LNDH%20Intense/3614270988660_100_la-nuit-de-l-homme-yves-saint-laurent-parfum-intense_Alt1.png,men,"patchouli, sage, tonka bean, vanilla",cozy,fall,night,Yves Saint Laurent,warm,casual,cold
Vivi La Juicy Limited Edition,Juicy Couture,https://i.ebayimg.com/images/g/3sMAAOSw0JpV4fxQ/s-l1200.jpg,women,"amber, and jasmine, caramel, gardenia, honeysuckle, sandalwood and pralines, vanilla",romantic,fall,night,Juicy Couture,romantic,date,cold
Splandid,Laura Mars,https://i.ebayimg.com/images/g/58MAAOSwWcBeuYOX/s-l1200.jpg,women,"amber, geranium, jasmine, neroli and ylangylan, vanilla",romantic,fall,night,Laura Mars,romantic,date,cold
Stronger With You,GIORGIO ARMANI,https://www.giorgioarmanibeauty-usa.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-gab-master-catalog/default/dw0a8e99ac/products/2025/SWY%20PARFUM/3614274219579_100ML_SWYPARF/3614274219579_01.jpg,men,"amber wood, cedar, chestnut, cinnamon, guaiac wood, lavender, melon, pineapple, sage, vanilla",cozy,fall,night,GIORGIO ARMANI,warm,date,cold
Chloe,CHLOE,https://www.chloe.com/product_image/46467853gk/r/w1080.jpg,women,"amber, cedar, lilyofthevalley, magnolia, rose",romantic,fall,night,CHLOE,romantic,date,cold
Terre D'Hermes,HERMES,https://assets.hermes.com/is/image/hermesproduct/terre-d-hermes-parfum--107757V0-worn-3-0-0-800-800_g.jpg,men,"cedar, patchouli, pepper and pelargonium, vetiver and benzoin",energetic,spring,day,HERMES,fresh,work,any
5Th Avenue,Elizabeth Arden,"https://m.media-amazon.com/images/I/71hc+TdoqxL._AC_UF350,350_QL80_.jpg",women,"amber, bulgarian rose, carnation, clove, iris, jasmine, musk, nutmeg, peach, sandalwood, tuberose, vanilla, violet, ylangylang",romantic,fall,night,Elizabeth Arden,romantic,date,cold
Dylan Blue,VERSACE,https://www.versace.com/dw/image/v2/BGWN_PRD/on/demandware.static/-/Sites-ver-master-catalog/default/dw2a9c45f7/original/90_R721010-R100MLS_RNUL_22_DylanBluePourHommeEDT100ml--Versace-online-store_1_1.jpg?sw=1200&q=85&strip=true,men,"ambroxan, black pepper, incense, musk, papyrus, patchouli, saffron, tonka bean, violet leaf",energetic,spring,day,VERSACE,fresh,date,cold
Hot Gold,Benetton,http://cdn.fragrancenet.com/images/photos/250x250/218494.jpg,women,"amber, carambola, mimosa, musk, rose, sandalwood",energetic,fall,day,Benetton,fresh,date,cold
Invictus,PACO RABANNE,"https://m.media-amazon.com/images/I/51GxBuu0VzL._AC_UF1000,1000_QL80_.jpg",men,"ambregris accord and grapefruit zests, guaiac wood and patchouli heart",energetic,spring,day,PACO RABANNE,fresh,casual,hot
Nero Assoluto,Roberto Cavalli,https://i.ebayimg.com/images/g/GY4AAOSwztNg1N4w/s-l1200.jpg,women,"ebony, vanilla, woodsy notes",romantic,fall,night,Roberto Cavalli,romantic,work,cold
Scholar,DORALL COLLECTION,http://webparfums.nl/cdn/shop/files/1870_33779130499229.jpg?v=1741765864,men,"apple, dried fruits, dry woods, green notes, jasmine, lavender, moss, muguet, musk, patchouli, peach, sandalwood, woodyamber",romantic,fall,night,DORALL COLLECTION,romantic,date,cold
Eternity,Calvin Klein,https://i5.walmartimages.com/seo/Calvin-Klein-Eternity-Eau-de-Parfum-Perfume-for-Women-3-4-Oz_d5b35330-3445-4b85-93b0-db212c0be00b.7d57cd130cf2aa529fe04631330bd3e6.jpeg,men,"amber, basil, coriander, jasmine, juniper berries, lily, lilyofthevalley and geranium, musk, orange blossom, sage, sandalwood, vetiver and brazilian rosewood",romantic,spring,night,Calvin Klein,romantic,date,cold
Viva La Juicy Noir,Juicy Couture,"https://m.media-amazon.com/images/I/81ukCNwi6jL._AC_UF1000,1000_QL80_.jpg",women,"amber, caramel, gardenia, honeysuckle and jasmine, vanilla and sandalwood",romantic,fall,night,Juicy Couture,romantic,date,cold
Lady Million,PACO RABANNE,"https://m.media-amazon.com/images/I/61okenEOa0L._AC_UF1000,1000_QL80_.jpg",women,"arabic jasmine and african orange flower, gardenia",romantic,fall,night,PACO RABANNE,romantic,casual,any
giorgio,Giorgio Beverly Hills,"https://m.media-amazon.com/images/I/71h0lU3oqcL._AC_UF1000,1000_QL80_.jpg",women,"amber, cedar, gardenia, jasmine, musk, oakmoss, orchid, patchouli, rose, sandalwood, seductive tuberose, vanilla, ylangylang",romantic,fall,night,Giorgio Beverly Hills,romantic,date,cold
Idylle,Guerlain,https://www.guerlain.com/dw/image/v2/BDCZ_PRD/on/demandware.static/-/Sites-GSA_master_catalog/default/dwf885d10f/primary_packshot_3/2022/Fragrance/Les%20L%C3%A9gendaires/G014320_3346470143203_IDYL-21-EDP-75ML-SPR.jpg?sw=655&sh=655&sfrm=png,women,"amber accord and sandalwood, jasmine and ylang ylang, magnolia",romantic,fall,night,Guerlain,romantic,date,cold
Libre,Yves Saint Laurent,"https://m.media-amazon.com/images/I/712eMUhkqaL._AC_UF1000,1000_QL80_.jpg",women,"amber, jasmine, lavender, musk, orange blossom, vanilla",romantic,fall,night,Yves Saint Laurent,romantic,date,cold
Scandal,Jean Paul GAULTIER,"https://m.media-amazon.com/images/I/51rAIP1wi9L._AC_UF1000,1000_QL80_.jpg",women,"beeswax, caramel, gardenia, honey, jasmine, licorice, orange blossom, patchouli, peach",romantic,fall,night,Jean Paul GAULTIER,romantic,casual,any
Mr. Burberry,BURBERRY,"https://m.media-amazon.com/images/I/819Z0KBAupL._AC_UF1000,1000_QL80_.jpg",men,"amber, benzoin and cinnamon, cedar, lavender, nutmeg, patchouli, sandalwood, vetiver",energetic,spring,night,BURBERRY,fresh,date,cold
Raindrops,Ajmal,https://m.media-amazon.com/images/I/613XR5rZ1vL.jpg,women,"animalistic floral, floral ambery woody",romantic,fall,night,Ajmal,romantic,date,cold
Guilty Absolute,GUCCI,https://m.media-amazon.com/images/I/610EnRsS9VL.jpg,women,"amber, bulgarian rose, cypress, patchouli, vetiver, woody notes",energetic,fall,night,GUCCI,fresh,date,cold
Mr. Burberry,BURBERRY,"https://m.media-amazon.com/images/I/819Z0KBAupL._AC_UF1000,1000_QL80_.jpg",men,"amber, benzoin cinnamon, cedar, lavender, nutmeg, patchouli, sandalwood, vetiver",energetic,spring,night,BURBERRY,fresh,date,cold
ICQ,J.CASANOVA,https://m.media-amazon.com/images/I/41rT6d2-ZpL.jpg,men,"animal, cedar wood, cyclamen, floral, jasmin, patchouli, rosewood, sandalwood, wood, ylangylang",energetic,spring,day,J.CASANOVA,fresh,work,any
Cold,UNITED COLORS OF BENETTON,https://m.media-amazon.com/images/I/31iupIYs-GL.jpg,women,"amber, coriander, cumin, frankincense, musk, patchouli, pimiento, vanilla, vetiver",energetic,fall,night,UNITED COLORS OF BENETTON,fresh,date,cold
Supreme Bouquet,YSL,https://www.fragrancesline.com/cdn/shop/products/Supreme-Bouquet-Yves-Saint-Laurent-perfume-sample-decants-fragrancesline.jpg?v=1589938173,unisex,"amber, jasmine and ylangylang, musk and patchouli, tuberose",sensual,spring,night,YSL,romantic,date,cold
Tommy,TOMMY HILFIGER,"https://m.media-amazon.com/images/I/71-Cb-3aIXL._AC_UF1000,1000_QL80_.jpg",men,"amber, cactus and cotton, cranberry, rose and apple",energetic,spring,night,TOMMY HILFIGER,fresh,date,cold
Safari,RALPH LAUREN,https://www.ralphlaurenfragrances.com/on/demandware.static/-/Sites-ralphlauren-master-catalog/default/dwf8904a08/images/pdp/RLFE024/ralph-lauren-fragrances-safari-for-men-edt-description-tab-desktop.jpg,men,"amber, carnation, cedar, cinnamon, cyclamen, jasmine, leather, musk, oakmoss, patchouli, rose, sandalwood, tarragon",energetic,spring,night,RALPH LAUREN,fresh,date,cold
Stronger With You,EMPORIO ARMANI,"https://m.media-amazon.com/images/I/61Hu8u9bjjL._AC_UF1000,1000_QL80_.jpg",men,"amberwood, cedar, chestnut, melon, pineapple, sage, vanilla",romantic,spring,night,EMPORIO ARMANI,romantic,date,cold
Rumba Passion Ted Lapidus,TED LAPIDUS,https://m.media-amazon.com/images/I/71pFgzy6-cL.jpg,women,"jasmine and rose, patchouli, vanilla and honey",romantic,fall,night,TED LAPIDUS,romantic,casual,cold
Dark Blue,HUGO BOSS,https://i.ebayimg.com/images/g/DmcAAOSwt~1je6mH/s-l1200.jpg,men,"benzoin, cypress and sage, olibanum, patchouli and suede, pelargonium",energetic,spring,day,HUGO BOSS,fresh,casual,any
Quatre,BOUCHERON,https://i5.walmartimages.com/seo/Boucheron-Quatre-Eau-de-Parfum-Perfume-for-Women-3-3-Oz_c2b82830-7b6b-4919-af94-4c3d2586a855.8fda5defc012b14c66692803f01ea91a.jpeg,women,"apple, caramel, cashmere, fishing, jasmine, musk, rose, vanilla",romantic,fall,night,BOUCHERON,romantic,date,cold
Molto Carina,DORALL COLLECTION,https://m.media-amazon.com/images/I/71kDVqFM3UL.jpg,women,"jasmin, lactone, musk, peach, tropical fruits, water, woody amber",sensual,fall,night,DORALL COLLECTION,romantic,date,cold
Stronger With You Intensely,armani,"https://m.media-amazon.com/images/I/71NyUCUyW2L._AC_UF350,350_QL80_.jpg",men,"ambery woods, vanilla",cozy,spring,night,armani,warm,date,cold
1 Million,PACO RABANNE,https://m.media-amazon.com/images/I/610wK1b2HdL.jpg,men,"amber, indian patchouli, musk and cinnamon bark, rose absolute, woody notes and leather",energetic,spring,night,PACO RABANNE,fresh,date,cold
Valentina,VALENTINO,https://m.media-amazon.com/images/I/51xpq-EyqTL.jpg,women,"african orange flower, amber, jasmine, strawberry, tuberose, vanilla, virginia cedar",romantic,fall,night,VALENTINO,romantic,date,cold
Oud 24 Hours,Ard Al Zaafaran,https://m.media-amazon.com/images/I/71KlocwLcEL.jpg,unisex,"amber, fruity notes, gardenia and ylangylang, incense, jasmine, patchouli and agarwood, sandalwood, spicy notes",energetic,spring,day,Ard Al Zaafaran,fresh,date,cold
Be Delicious,DKNY,"https://m.media-amazon.com/images/I/71TOIVdvMdL._AC_UF1000,1000_QL80_.jpg",women,"apple, rose and violet, tuberose, white amber and woods, white muguet",romantic,fall,night,DKNY,romantic,date,cold
Modern Muse,Estee Lauder,https://m.esteelauder.com/media/export/cms/products/640x640/el_sku_YF3201_640x640_0.jpg,women,"amber, chinee jasmine, flower petals, honeysuckles, jasmine, lily, musk, patchouli, tuberose, vanilla, woodsy note",romantic,fall,night,Estee Lauder,romantic,date,cold
Good Girl,CAROLINA HERRERA,https://m.media-amazon.com/images/I/71F1oSu-6NL.jpg,women,"bulgarian rose, cashmere wood, cedar, cinnamon, cocoa, jasmine, orange blossom, orris, praline, sandalwood, tonka bean, tuberose",energetic,spring,day,CAROLINA HERRERA,fresh,work,cold
Mr.Burberry,BURBERRY,"https://m.media-amazon.com/images/I/61AlnsyU88L._AC_UF1000,1000_QL80_.jpg",men,"birch leaf, cedar, guaiac wood, nutmeg oil, sandalwood, vetiver",energetic,spring,night,BURBERRY,fresh,work,any
Ideal,Guerlain,https://www.guerlain.com/dw/image/v2/BDCZ_PRD/on/demandware.static/-/Sites-GSA_master_catalog/default/dwa899995d/primary_packshot_3/2024/FRAGRANCE/LES-MASCULINS-24_SECONDARY-VISUAL_PDP_KV_LHI.jpg?sw=900&sh=900,men,"bulgarian rose, cherry, incense, leather, sandalwood, tonka beans, vanilla",energetic,spring,night,Guerlain,fresh,date,cold
Acqua Di Gio,GIORGIO ARMANI,"https://m.media-amazon.com/images/I/71BDgIZdLyL._AC_UF350,350_QL80_.jpg",men,"amber, coriander, freesia and flower of love, musk and cedar, oak moss, peach, rose, sea notes, small coconut, violet",energetic,spring,day,GIORGIO ARMANI,fresh,date,cold
Girl of Now Shine,ELIE SAAB,https://i5.walmartimages.com/asr/53c25878-830c-458c-afe2-fbc3770bb1ee.cd2c0db84d673c62d759b680cf36bb46.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,women,"iris, jasmine, roasted almonds and ylangylang, sweet vanilla and patchouli",romantic,fall,night,ELIE SAAB,romantic,casual,cold
Narciso Rodriguez,NARCISO RODRIGUEZ,https://m.media-amazon.com/images/I/719IpQOO-EL.jpg,women,"amber, musk, patchouli, sandalwood",energetic,winter,night,NARCISO RODRIGUEZ,fresh,date,cold
Uomo,Roberto Cavalli,https://m.media-amazon.com/images/I/81LiK-Yh6hL.jpg,men,"cedar, honey, lavender",romantic,spring,night,Roberto Cavalli,romantic,work,any
Emblem Absolu,MONTBLANC,https://i5.walmartimages.com/seo/Montblanc-Emblem-Absolu-Eau-De-Toilette-Spray-By-Mont-Blanc-3-4-Oz_e9a0a6c6-7e99-4d72-a650-17ed07844f56.e6c00c5bc69ab8793e42a9fa162fc30b.jpeg,men,"fruits and honey, lavender, patchouli, pink pepper, vetiver and moss",energetic,spring,night,MONTBLANC,fresh,work,rainy
Eau de Lacoste L. 12.12 Noir,LACOSTE,"https://m.media-amazon.com/images/I/71KvS8HVeqL._AC_UF1000,1000_QL80_.jpg",men,"basil, cashmeran, coumarin and patchouli, dark chocolate, verbena and lavender",energetic,spring,night,LACOSTE,fresh,casual,any
CKIN2U,Calvin Klein,https://i5.walmartimages.com/seo/Calvin-Klein-CKIN2U-For-Her-Eau-de-Toilette-3-3-oz_9c59d468-34f8-41c5-b147-9c755c9fc3c5.b3b7edf972eabf74c56613ef902e8aa3.jpeg,men,"cacao pod, cedar and white musk, vetiver",energetic,spring,day,Calvin Klein,fresh,date,any
Florence,Roberto Cavalli,"https://m.media-amazon.com/images/I/81G606+d15L._AC_UF1000,1000_QL80_.jpg",women,"amber, grapefruit blossom, hibiscus seed, musk, orange blossom, patchouli",romantic,fall,night,Roberto Cavalli,romantic,date,cold
Tommy Hilfiger,TOMMY HILFIGER,"https://m.media-amazon.com/images/I/71-Cb-3aIXL._AC_UF1000,1000_QL80_.jpg",men,"amber, cactus and cotton flower, cranberry, rose and granny smith apple",energetic,spring,night,TOMMY HILFIGER,fresh,date,cold
Atelier Intense,LE CHAMEAU,http://www.thescentsstore.com/cdn/shop/products/le_chameau_atelier_intense_edt_100ml_for_men.jpg?v=1653339490,men,"amber, ceadarwood, musk, oakmoss, sandalwood, spicy, tonka bean, vetyver",sensual,spring,night,LE CHAMEAU,romantic,date,cold
Genesis Oud Malaki,LE CHAMEAU,https://fimgs.net/mdimg/perfume/375x500.31160.jpg,unisex,"agarwood, apple, musk and vetiver, patchouli and amber",sensual,spring,night,LE CHAMEAU,romantic,date,cold
Tomorrow,AVON,"https://m.media-amazon.com/images/I/716cMgkONRL._AC_UF1000,1000_QL80_.jpg",women,"balsamic, floral, musk, powdery, rose, woody",romantic,fall,night,AVON,romantic,date,any
Signorina Eleganza,Salvatore Ferragamo,"https://m.media-amazon.com/images/I/517gvW3v-vL._AC_UF1000,1000_QL80_.jpg",women,"almond powder and golden osmanthus petals, patchouli and white leather",romantic,fall,night,Salvatore Ferragamo,romantic,date,any
Pour Homme,Carrera,https://i.ebayimg.com/images/g/1rkAAOSwSj1kJwLU/s-l1200.jpg,men,"anise, cedar, cloves and jasmine, ginger, leather, musk, sandalwood and oakmoss, tonka bean",sensual,spring,night,Carrera,romantic,date,cold
Nashwa,DORALL COLLECTION,https://www.scionintl.com/wp-content/uploads/2021/08/dorall-collection-orientals-nashwa-for-women-100ml.jpg,women,"amber, freesia, gardenia, jasmine, lily of the valley, magnolia, musk, patchouli, sandalwood, vanilla",romantic,fall,night,DORALL COLLECTION,romantic,date,cold
Euphoria,Calvin Klein,"https://m.media-amazon.com/images/I/81r-fVs1EIL._AC_UF1000,1000_QL80_.jpg",men,"amber, black basil, brazilian redwood and suede, patchouli, sage and cedar",energetic,spring,night,Calvin Klein,fresh,date,cold
XX,HUGO BOSS,https://i5.walmartimages.com/asr/7be4ad03-8cb9-4bb3-95c6-db6c9d878b85.53b3ee36c9e34aab2ebe7f05d6a9bfe1.jpeg,women,"amber, jasmine, musk, rice, rose, sandalwood",sensual,fall,night,HUGO BOSS,romantic,date,cold
